"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-08",,"   11","1.74",,,,,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-09",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-10",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-11",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-12",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-13",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-14",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-15",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-16",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-17",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-18",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-19",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-20",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-21",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-22",,,,,"2.81",,,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-23",,,,,"0.49",,,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-24",,,,,"0.48",,,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-25",,,,,"0.53",,,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-26",,,,,"0.02",,,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-27",,,,,"0.00",,,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-28",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-29",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-30",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-01-31",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-02-01",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-02-02",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-02-03",,,,,"0.28",,,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-02-04",,,,,"0.01","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-02-05",,,,,"0.01",,,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-02-06",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-02-07",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-02-08",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
"US1TXWM0044","JOLLYVILLE 1.2 WNW, TX US","2024-02-09",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,
