ID,Year-Month,Parthenia_juvenile,Parthenia_subadult,Parthenia_adult,Eliza_juvenile,Eliza_subadult,Eliza_adult,Discharge_BS,Parthenia_sedcov,Parthenia_filalgae,Eliza_sedcov,Eliza_filalgae
1,2002/10,NA,NA,NA,NA,NA,NA,85.8,NA,NA,NA,NA
2,2002/11,NA,NA,NA,NA,NA,NA,98.2,NA,NA,NA,NA
3,2002/12,NA,NA,NA,NA,NA,NA,106.5,NA,NA,NA,NA
4,2003/01,NA,NA,NA,NA,NA,NA,108.8,NA,NA,NA,NA
5,2003/02,NA,NA,NA,NA,NA,NA,113.8,NA,NA,NA,NA
6,2003/03,NA,NA,NA,NA,NA,NA,115.4,NA,NA,NA,NA
7,2003/04,NA,NA,NA,NA,NA,NA,107.3,NA,NA,NA,NA
8,2003/05,NA,NA,NA,NA,NA,NA,100.2,NA,NA,NA,NA
9,2003/06,NA,NA,NA,NA,NA,NA,95.8,NA,NA,NA,NA
10,2003/07,NA,NA,NA,NA,NA,NA,89.2,NA,NA,NA,NA
11,2003/08,NA,NA,NA,NA,NA,NA,81.9,NA,NA,NA,NA
12,2003/09,NA,NA,NA,NA,NA,NA,70.5,NA,NA,NA,NA
13,2003/10,NA,NA,NA,NA,NA,NA,56.6,NA,NA,NA,NA
14,2003/11,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA
15,2003/12,NA,NA,NA,NA,NA,NA,39.9,NA,NA,NA,NA
16,2004/01,33,26,4,91,124,16,40.5,38.45,0,52.5,0.25
17,2004/02,2,1,1,90,167,40,42,51.15,16.05,43.75,0
18,2004/03,9,1,0,124,247,34,46.1,51.15,0.94,52.5,1.25
19,2004/04,3,3,0,NA,NA,NA,56.2,57,12.6,NA,NA
20,2004/05,4,4,0,166,332,96,62.9,37.13,1.84,26.25,1
21,2004/06,NA,NA,NA,NA,NA,NA,74.2,NA,NA,NA,NA
22,2004/07,0,0,0,NA,NA,NA,96.4,49.13,0,NA,NA
23,2004/08,3,2,0,51,167,124,85.5,48.15,1.54,35,2.75
24,2004/09,4,2,0,97,86,127,71.8,54.15,9.34,28.75,1.5
25,2004/10,NA,NA,NA,64,102,91,65.4,NA,NA,21.25,1
26,2004/11,NA,NA,NA,NA,NA,NA,81.7,NA,NA,NA,NA
27,2004/12,1,0,1,NA,NA,NA,102.4,48.15,3,NA,NA
28,2005/01,NA,NA,NA,7,87,52,97.3,NA,NA,57.5,5.25
29,2005/02,NA,NA,NA,NA,NA,NA,97.6,NA,NA,NA,NA
30,2005/03,NA,NA,NA,NA,NA,NA,114.7,NA,NA,NA,NA
31,2005/04,1,1,0,27,80,77,110.1,58.83,15.53,33.75,11.5
32,2005/05,NA,NA,NA,74,91,83,99.8,NA,NA,48.75,6.75
33,2005/06,4,0,0,71,73,76,91.6,44.1,23.55,30,3
34,2005/07,5,4,1,72,54,34,82.4,43.3,8.31,23.75,7
35,2005/08,NA,NA,NA,135,148,85,75,NA,NA,30,2.25
36,2005/09,10,26,8,140,227,95,64.8,46.13,7.68,20,1.25
37,2005/10,3,0,0,123,284,167,49.8,55.48,19.05,35,2.25
38,2005/11,6,13,5,105,237,329,42.9,52.65,1.68,28.75,1
39,2005/12,6,4,5,171,216,200,41.7,58.83,1.98,23.25,4
40,2006/01,NA,NA,NA,280,223,120,33.5,NA,NA,20,6.25
41,2006/02,4.5,4.5,2.5,NA,NA,NA,30.5,53.23,0.64,NA,NA
42,2006/03,NA,NA,NA,NA,NA,NA,31.4,NA,NA,NA,NA
43,2006/04,8,23,17,101,399,238,31.1,NA,NA,62.5,5.25
44,2006/05,11,0,0,123,174,152,34.6,62.87,38.73,67.5,3.5
