DATA_REF_NO,SAMPLE_REF_NO,PROJECT,WATERSHED,SITE_TYPE,SAMPLE_SITE_NO,SITE_NAME,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_DATE,TIME_NULL,collecting_group,SAMPLE_ID,MEDIUM,DEPTH_IN_METERS,PARAM_TYPE,PARAMETER,QC_TYPE,QUALIFIER,RESULT,UNIT,QC_FLAG,METHOD,FILTER
3027306,596883,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,01/08/2025 09:45:00 AM,N,WRE,35-Barton Spg,Ground Water,,Clarity,TURBIDITY,,,0.73,NTU,,In-Situ Aqua Troll,Total
3027431,596883,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,01/08/2025 09:45:00 AM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,4.29,MG/L,,In-Situ Aqua Troll,Dissolved
3027400,596883,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,01/08/2025 09:45:00 AM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,6.98,Standard units,,In-Situ Aqua Troll,Total
3027473,596883,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,01/08/2025 09:45:00 AM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,21.97,Deg. Celsius,,In-Situ Aqua Troll,Total
3024943,596753,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,12/11/2024 10:45:00 AM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,7.24,Standard units,,In-Situ Aqua Troll,Total
3024931,596753,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,12/11/2024 10:45:00 AM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,4.18,MG/L,,In-Situ Aqua Troll,Dissolved
3024937,596753,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,12/11/2024 10:45:00 AM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,21.85,Deg. Celsius,,In-Situ Aqua Troll,Total
3022481,596602,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,11/13/2024 09:15:00 AM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,7.16,Standard units,,In-Situ Aqua Troll,Total
3022477,596602,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,11/13/2024 09:15:00 AM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,4.16,MG/L,,In-Situ Aqua Troll,Dissolved
3022487,596602,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,11/13/2024 09:15:00 AM,N,WRE,35-Barton Spg,Ground Water,,Clarity,TURBIDITY,,,0.4,NTU,,In-Situ Aqua Troll,Total
