Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,table_1_flag,Geocoded_City1,Geocoded_City2
2024,3,32575,32457,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",372,16339,159.59,WN,0.5209,170.76,AS,0.1219,148.79,-1,,
2024,3,32467,31703,"Miami, FL (Metropolitan Area)","New York City, NY (Metropolitan Area)",1118,15842,179.57,B6,0.2565,161.00,NK,0.1149,105.45,-1,,
2024,3,32575,31703,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",2510,13767,399.68,B6,0.2642,347.36,B6,0.2642,347.36,-1,,
2024,3,31703,31454,"New York City, NY (Metropolitan Area)","Orlando, FL",989,12511,176.63,B6,0.4043,174.50,NK,0.1197,115.86,-1,,
2024,3,30977,31703,"Chicago, IL","New York City, NY (Metropolitan Area)",773,11466,184.79,UA,0.4137,203.27,WN,0.1059,147.50,-1,,
2024,3,30397,31703,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,9122,180.72,DL,0.4751,222.04,B6,0.1396,133.87,-1,,
2024,3,31703,32457,"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2619,8814,450.45,UA,0.3179,559.23,AS,0.1795,338.63,-1,,
2024,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,8596,190.34,AS,0.6128,194.77,AS,0.6128,194.77,-1,,
2024,3,30977,32575,"Chicago, IL","Los Angeles, CA (Metropolitan Area)",1750,7239,254.51,UA,0.3568,292.49,NK,0.1004,120.35,-1,,
2024,3,32211,32575,"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)",236,6990,141.08,WN,0.5743,158.68,NK,0.1278,89.66,-1,,
2024,3,30721,30852,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",418,6752,169.34,WN,0.2390,177.18,B6,0.2182,145.57,-1,,
2024,3,32457,30559,"San Francisco, CA (Metropolitan Area)","Seattle, WA",696,6479,189.92,AS,0.5593,194.08,WN,0.2050,158.76,-1,,
2024,3,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,6395,236.52,AA,0.5032,289.25,NK,0.1072,115.41,-1,,
2024,3,33570,32457,"San Diego, CA","San Francisco, CA (Metropolitan Area)",447,6357,154.12,WN,0.6071,153.28,WN,0.6071,153.28,-1,,
2024,3,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,6098,239.72,AA,0.4029,274.29,NK,0.1004,120.24,-1,,
2024,3,31703,34027,"New York City, NY (Metropolitan Area)","West Palm Beach/Palm Beach, FL",1056,5964,173.57,B6,0.4974,153.71,B6,0.4974,153.71,-1,,
2024,3,32211,32457,"Las Vegas, NV","San Francisco, CA (Metropolitan Area)",414,5964,151.83,WN,0.5562,159.21,NK,0.1243,94.31,-1,,
2024,3,30325,32575,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,5881,186.56,WN,0.4241,184.15,F9,0.1143,108.42,-1,,
2024,3,30977,30852,"Chicago, IL","Washington, DC (Metropolitan Area)",622,5627,193.96,UA,0.4244,211.64,WN,0.3503,168.99,-1,,
2024,3,31454,30852,"Orlando, FL","Washington, DC (Metropolitan Area)",787,5538,156.20,WN,0.3407,182.58,B6,0.1470,117.94,-1,,
2024,3,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",2329,5533,297.06,UA,0.3586,313.47,AS,0.1127,261.10,-1,,
2024,3,32467,30852,"Miami, FL (Metropolitan Area)","Washington, DC (Metropolitan Area)",946,5401,166.31,AA,0.2715,191.57,NK,0.1227,97.29,-1,,
2024,3,31703,33195,"New York City, NY (Metropolitan Area)","Tampa, FL (Metropolitan Area)",1055,5295,183.72,B6,0.3191,168.46,B6,0.3191,168.46,-1,,
2024,3,30721,30977,"Boston, MA (Metropolitan Area)","Chicago, IL",867,5009,176.71,AA,0.2836,181.46,WN,0.2070,161.54,-1,,
2024,3,30397,30852,"Atlanta, GA (Metropolitan Area)","Washington, DC (Metropolitan Area)",577,4971,198.80,DL,0.4736,232.64,WN,0.2589,174.97,-1,,
2024,3,30325,31703,"Denver, CO","New York City, NY (Metropolitan Area)",1659,4889,260.85,UA,0.4649,302.83,WN,0.1368,198.96,-1,,
2024,3,32575,30466,"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ",370,4844,171.26,WN,0.5996,167.43,WN,0.5996,167.43,-1,,
2024,3,31453,31703,"Houston, TX","New York City, NY (Metropolitan Area)",1465,4842,228.78,UA,0.4768,278.94,NK,0.1328,112.46,-1,,
2024,3,30977,32457,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,4663,276.35,UA,0.5087,312.25,WN,0.2166,229.40,-1,,
2024,3,32575,33192,"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",404,4618,177.22,WN,0.8634,179.31,NK,0.0134,84.30,-1,,
2024,3,30397,32467,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,4601,162.13,DL,0.5002,197.66,NK,0.1475,92.71,-1,,
2024,3,30721,31454,"Boston, MA (Metropolitan Area)","Orlando, FL",1142,4592,167.58,B6,0.3645,181.87,NK,0.1339,101.64,-1,,
2024,3,30977,30194,"Chicago, IL","Dallas/Fort Worth, TX",802,4591,198.26,AA,0.3584,245.97,F9,0.1074,104.93,-1,,
2024,3,32211,31703,"Las Vegas, NV","New York City, NY (Metropolitan Area)",2282,4580,306.99,UA,0.3297,339.59,NK,0.1172,148.26,-1,,
